league;season;team;game;date;time;round;day;venue;result;GF;GA;opponent;xG;xGA;Poss;Attendance;Captain;Formation;Opp Formation;Referee;match_report;Notes
;;;2022-01-19 Hertha BSC-Union Berlin;2022-01-19 00:00:00;20:45:00;Round of 16;Wed;Away;W;3;2;Hertha BSC;;;33;3000;Grischa Prömel;3-1-4-2;4-1-4-1;Deniz Aytekin;/en/matches/3202eb2f/Hertha-BSC-Union-Berlin-January-19-2022-DFB-Pokal;
;;;2022-01-22 Gladbach-Union Berlin;2022-01-22 00:00:00;15:30:00;Matchweek 20;Sat;Away;W;2;1;Gladbach;1,1;1,5;41;750;Christopher Trimmel;3-5-2;3-4-3;Felix Brych;/en/matches/10ccd5fe/Monchengladbach-Union-Berlin-January-22-2022-Bundesliga;
;;;2022-02-05 Augsburg-Union Berlin;2022-02-05 00:00:00;15:30:00;Matchweek 21;Sat;Away;L;0;2;Augsburg;1,7;1,8;53;7600;Christopher Trimmel;3-5-2;4-2-2-2;Harm Osmers;/en/matches/aea1c9e4/Augsburg-Union-Berlin-February-5-2022-Bundesliga;
;;;2022-02-13 Union Berlin-Dortmund;2022-02-13 00:00:00;15:30:00;Matchweek 22;Sun;Home;L;0;3;Dortmund;1,2;2,2;40;10000;Christopher Trimmel;5-3-2;4-3-3;Matthias Jöllenbeck;/en/matches/17dab886/Union-Berlin-Dortmund-February-13-2022-Bundesliga;
;;;2022-02-19 Arminia-Union Berlin;2022-02-19 00:00:00;15:30:00;Matchweek 23;Sat;Away;L;0;1;Arminia;0,9;0,8;58;10000;Grischa Prömel;3-5-2;4-2-3-1;Daniel Schlager;/en/matches/80eaf904/Arminia-Union-Berlin-February-19-2022-Bundesliga;
;;;2022-02-26 Union Berlin-Mainz 05;2022-02-26 00:00:00;15:30:00;Matchweek 24;Sat;Home;W;3;1;Mainz 05;1;1;49;10000;Christopher Trimmel;3-1-4-2;3-4-3;Bastian Dankert;/en/matches/d8cf30ac/Union-Berlin-Mainz-05-February-26-2022-Bundesliga;
;;;2022-03-01 Union Berlin-St. Pauli;2022-03-01 00:00:00;20:45:00;Quarter-finals;Tue;Home;W;2;1;St. Pauli;;;56;10000;Christopher Trimmel;3-1-4-2;5-3-2;Florian Badstübner;/en/matches/557b40b9/Union-Berlin-St-Pauli-March-1-2022-DFB-Pokal;
;;;2022-03-05 Wolfsburg-Union Berlin;2022-03-05 00:00:00;15:30:00;Matchweek 25;Sat;Away;L;0;1;Wolfsburg;1,2;0,5;54;15703;Grischa Prömel;3-5-2;4-1-2-1-2;Patrick Ittrich;/en/matches/9a57ee84/Wolfsburg-Union-Berlin-March-5-2022-Bundesliga;
;;;2022-03-12 Union Berlin-Stuttgart;2022-03-12 00:00:00;15:30:00;Matchweek 26;Sat;Home;D;1;1;Stuttgart;1,5;1;44;16509;Christopher Trimmel;3-5-2;4-3-3;Robert Hartmann;/en/matches/838101e4/Union-Berlin-Stuttgart-March-12-2022-Bundesliga;
;;;2022-03-19 Bayern Munich-Union Berlin;2022-03-19 00:00:00;18:30:00;Matchweek 27;Sat;Away;L;0;4;Bayern Munich;1;2,7;30;37000;Rani Khedira;3-5-2;4-1-4-1;Harm Osmers;/en/matches/8a7edc58/Bayern-Munich-Union-Berlin-March-19-2022-Bundesliga;
;;;2022-04-01 Union Berlin-Köln;2022-04-01 00:00:00;20:30:00;Matchweek 28;Fri;Home;W;1;0;Köln;1,3;0,3;37;22012;Christopher Trimmel;3-5-2;4-2-3-1;Florian Badstübner;/en/matches/842c282d/Union-Berlin-Koln-April-1-2022-Bundesliga;
;;;2022-04-09 Hertha BSC-Union Berlin;2022-04-09 00:00:00;18:30:00;Matchweek 29;Sat;Away;W;4;1;Hertha BSC;1,8;0,7;48;74667;Christopher Trimmel;3-1-4-2;4-1-4-1;Sven Jablonski;/en/matches/04851f34/Hertha-BSC-Union-Berlin-April-9-2022-Bundesliga;
;;;2022-04-17 Union Berlin-Eint Frankfurt;2022-04-17 00:00:00;17:30:00;Matchweek 30;Sun;Home;W;2;0;Eint Frankfurt;1,1;0,5;44;22000;Grischa Prömel;3-5-2;3-4-3;Frank Willenborg;/en/matches/1155fe35/Union-Berlin-Eintracht-Frankfurt-April-17-2022-Bundesliga;
;;;2022-04-20 RB Leipzig-Union Berlin;2022-04-20 00:00:00;20:45:00;Semi-finals;Wed;Away;L;1;2;RB Leipzig;;;32;47069;Christopher Trimmel;3-5-2;3-1-4-2;Felix Brych;/en/matches/b9f41d01/RB-Leipzig-Union-Berlin-April-20-2022-DFB-Pokal;
;;;2022-04-23 RB Leipzig-Union Berlin;2022-04-23 00:00:00;15:30:00;Matchweek 31;Sat;Away;W;2;1;RB Leipzig;1,4;0,6;46;45770;Christopher Trimmel;3-5-2;3-1-4-2;Daniel Schlager;/en/matches/aa4dd599/RB-Leipzig-Union-Berlin-April-23-2022-Bundesliga;
;;;2022-04-29 Union Berlin-Greuther Fürth;2022-04-29 00:00:00;20:30:00;Matchweek 32;Fri;Home;D;1;1;Greuther Fürth;1,4;0,3;54;22012;Christopher Trimmel;3-5-2;3-4-1-2;Patrick Ittrich;/en/matches/621664f9/Union-Berlin-Greuther-Furth-April-29-2022-Bundesliga;
;;;2022-05-07 Freiburg-Union Berlin;2022-05-07 00:00:00;15:30:00;Matchweek 33;Sat;Away;W;4;1;Freiburg;2;1,8;29;34700;Christopher Trimmel;3-5-2;4-4-1-1;Felix Brych;/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga;
;;;2022-05-14 Union Berlin-Bochum;2022-05-14 00:00:00;15:30:00;Matchweek 34;Sat;Home;W;3;2;Bochum;2,6;0,2;43;22012;Christopher Trimmel;3-5-2;3-4-1-2;Marco Fritz;/en/matches/c8cef118/Union-Berlin-Bochum-May-14-2022-Bundesliga;
;;Wolfsburg;2021-08-08 Preußen Münster-Wolfsburg;2021-08-08 00:00:00;15:30:00;Round of 64;Sun;Away;L;0;2;Preußen Münster;;;67;6703;Koen Casteels;4-2-3-1;4-5-1;Christian Dingert;/en/matches/3b67d0ab/Preussen-Munster-Wolfsburg-August-8-2021-DFB-Pokal;"Match awarded to Preußen Münster; Required Extra Time"
;;;2021-08-14 Wolfsburg-Bochum;2021-08-14 00:00:00;15:30:00;Matchweek 1;Sat;Home;W;1;0;Bochum;2;0,4;60;8536;Koen Casteels;4-2-3-1;4-3-3;Frank Willenborg;/en/matches/d1f94768/Wolfsburg-Bochum-August-14-2021-Bundesliga;
;;;2021-08-21 Hertha BSC-Wolfsburg;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Away;W;2;1;Hertha BSC;1;1,2;59;18241;Koen Casteels;4-2-3-1;4-2-3-1;Matthias Jöllenbeck;/en/matches/2ffc3a67/Hertha-BSC-Wolfsburg-August-21-2021-Bundesliga;
;;;2021-08-29 Wolfsburg-RB Leipzig;2021-08-29 00:00:00;17:30:00;Matchweek 3;Sun;Home;W;1;0;RB Leipzig;0,8;1,1;48;12058;Koen Casteels;4-2-3-1;4-2-3-1;Tobias Stieler;/en/matches/85bc22c0/Wolfsburg-RB-Leipzig-August-29-2021-Bundesliga;
;;;2021-09-11 Greuther Fürth-Wolfsburg;2021-09-11 00:00:00;15:30:00;Matchweek 4;Sat;Away;W;2;0;Greuther Fürth;1,4;0,3;70;9000;Koen Casteels;4-2-3-1;4-4-2;Robert Hartmann;/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga;
;;;2021-09-14 Lille-Wolfsburg;2021-09-14 00:00:00;21:00:00;Group stage;Tue;Away;D;0;0;Lille;0,1;1,6;46;34314;Koen Casteels;4-2-3-1;4-4-2;Danny Makkelie;/en/matches/e6bd6226/Lille-Wolfsburg-September-14-2021-Champions-League;
;;;2021-09-19 Wolfsburg-Eint Frankfurt;2021-09-19 00:00:00;19:30:00;Matchweek 5;Sun;Home;D;1;1;Eint Frankfurt;1,2;0,3;60;9266;Koen Casteels;4-2-3-1;4-2-3-1;Felix Zwayer;/en/matches/1d1a48ef/Wolfsburg-Eintracht-Frankfurt-September-19-2021-Bundesliga;
;;;2021-09-25 Hoffenheim-Wolfsburg;2021-09-25 00:00:00;15:30:00;Matchweek 6;Sat;Away;L;1;3;Hoffenheim;0,6;1,5;50;8523;Koen Casteels;4-2-3-1;4-2-2-2;Daniel Siebert;/en/matches/6f418f24/Hoffenheim-Wolfsburg-September-25-2021-Bundesliga;
;;;2021-09-29 Wolfsburg-Sevilla;2021-09-29 00:00:00;21:00:00;Group stage;Wed;Home;D;1;1;Sevilla;1,2;1,1;31;11733;Koen Casteels;4-2-3-1;4-2-3-1;Georgi Kabakov;/en/matches/d4ddc4bd/Wolfsburg-Sevilla-September-29-2021-Champions-League;
;;;2021-10-02 Wolfsburg-Gladbach;2021-10-02 00:00:00;15:30:00;Matchweek 7;Sat;Home;L;1;3;Gladbach;1,3;3,3;52;12845;Koen Casteels;4-2-3-1;3-5-2;Frank Willenborg;/en/matches/e9ccaf2f/Wolfsburg-Monchengladbach-October-2-2021-Bundesliga;
;;;2021-10-16 Union Berlin-Wolfsburg;2021-10-16 00:00:00;15:30:00;Matchweek 8;Sat;Away;L;0;2;Union Berlin;1,5;0,9;61;11000;Koen Casteels;4-2-3-1;3-5-2;Sascha Stegemann;/en/matches/0e35371a/Union-Berlin-Wolfsburg-October-16-2021-Bundesliga;
;;;2021-10-20 RB Salzburg-Wolfsburg;2021-10-20 00:00:00;18:45:00;Group stage;Wed;Away;L;1;3;RB Salzburg;0,9;2,7;46;29520;Koen Casteels;4-2-3-1;4-1-2-1-2;Daniele Orsato;/en/matches/c83fd1b6/Red-Bull-Salzburg-Wolfsburg-October-20-2021-Champions-League;
;;;2021-10-23 Wolfsburg-Freiburg;2021-10-23 00:00:00;15:30:00;Matchweek 9;Sat;Home;L;0;2;Freiburg;1,3;1,5;56;10251;Koen Casteels;4-3-3;3-4-3;Tobias Welz;/en/matches/9a217927/Wolfsburg-Freiburg-October-23-2021-Bundesliga;
;;;2021-10-30 Leverkusen-Wolfsburg;2021-10-30 00:00:00;15:30:00;Matchweek 10;Sat;Away;W;2;0;Leverkusen;1,8;1,5;35;20132;Koen Casteels;3-4-3;3-4-3;Deniz Aytekin;/en/matches/1cfc37c8/Bayer-Leverkusen-Wolfsburg-October-30-2021-Bundesliga;
;;;2021-11-02 Wolfsburg-RB Salzburg;2021-11-02 00:00:00;18:45:00;Group stage;Tue;Home;W;2;1;RB Salzburg;1,7;1,6;42;16112;Koen Casteels;3-4-3;4-1-2-1-2;Artur Dias;/en/matches/575f8ead/Wolfsburg-Red-Bull-Salzburg-November-2-2021-Champions-League;
;;;2021-11-06 Wolfsburg-Augsburg;2021-11-06 00:00:00;15:30:00;Matchweek 11;Sat;Home;W;1;0;Augsburg;0,5;0,7;62;16095;Koen Casteels;3-4-3;4-4-1-1;Marco Fritz;/en/matches/f1b9b586/Wolfsburg-Augsburg-November-6-2021-Bundesliga;
;;;2021-11-20 Arminia-Wolfsburg;2021-11-20 00:00:00;15:30:00;Matchweek 12;Sat;Away;D;2;2;Arminia;1,9;1,3;63;19801;Koen Casteels;3-4-3;4-2-3-1;Martin Petersen;/en/matches/c5c97f25/Arminia-Wolfsburg-November-20-2021-Bundesliga;
;;;2021-11-23 Sevilla-Wolfsburg;2021-11-23 00:00:00;21:00:00;Group stage;Tue;Away;L;0;2;Sevilla;0,3;1,6;38;28663;Maximilian Arnold;4-3-3;4-3-3;Cüneyt Çakιr;/en/matches/e8f46f62/Sevilla-Wolfsburg-November-23-2021-Champions-League;
